,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
6713,0.17,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.333,0.333,0.333,-0.054,63.6,1.15,1.15,0.102
6714,0.15,116.0,18.0,28.0,6.0,0.0,1.0,8.0,4.0,2.0,18.0,4.0,0.0,40.0,4.0,3.0,0.0,0.241,0.362,0.319,-0.032,81.0,0.0467898985108138,0.0218894202151415,0.0024941156383714
6715,0.15,51.0,8.0,10.0,3.0,0.0,0.0,3.0,1.0,1.0,13.0,1.0,1.0,16.0,1.0,1.0,0.0,0.196,0.369,0.255,-0.024,86.7,0.0474216639383323,0.0254500316337848,0.0028129147222281
6716,0.14,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.333,0.2,-0.085,40.7,0.0552307464877456,0.0266271625504806,0.0029808726783555
6717,0.14,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.333,1.333,0.155,220.3,0.0,0.78,0.07
6718,0.14,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.247,288.8,0.81,0.82,0.073
6719,0.14,22.0,4.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.364,0.364,0.591,0.029,126.0,0.4,0.42,0.037
6720,0.12,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.167,0.286,0.167,-0.113,19.7,0.49,0.53,0.047
6721,0.11,24.0,1.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.333,0.385,0.333,-0.028,83.0,0.0,-0.45,-0.041
6722,0.11,9.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.333,0.4,0.333,-0.014,93.6,-0.31,-0.31,-0.028
6723,0.11,89.0,32.0,19.0,2.0,1.0,0.0,9.0,13.0,6.0,8.0,4.0,0.0,25.0,1.0,5.0,0.0,0.213,0.307,0.258,-0.063,59.1,-0.86,-0.32,-0.028
6724,0.1,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.064,152.3,0.12,0.12,0.011
